cliente_id,nombre,direccion,email,telefono
1,Guillermina Hinojosa,"Calzada Nuevo León 335 595
San Juan Carlos de la Montaña, BCS 60091",dmireles@example.net,1-922-021-6312x1598
2,Enrique Lozano Gamboa,"Continuación Montenegro 964 Interior 231
San Ofelia de la Montaña, ZAC 17121",zgomez@example.com,(195)508-0329x6846
3,Estefanía Chacón Calderón,"Cerrada Reyna 583 842
Vieja Finlandia, BC 27367-4680",eliascamarillo@example.com,(496)368-0923
4,Lucas Porras,"Prolongación Nuevo León 367 503
San Emiliano los bajos, JAL 56931",marco-antoniobarela@example.com,(403)249-5212
5,Natividad Nayeli Vera Alcaraz,"Avenida Seychelles 198 Edif. 638 , Depto. 068
Vieja Malasia, JAL 14974",camachorocio@example.org,(806)050-8324
6,Asunción Santacruz Gil,"Privada Quintana Roo 337 Edif. 005 , Depto. 902
Nueva Benin, MOR 09687-0865",ncasares@example.com,(436)108-3735x16505
7,Wilfrido Meléndez,"Corredor Sur Mendoza 397 Interior 134
Nueva Mozambique, TLAX 47952",davilasergio@example.com,1-374-219-7686x976
8,Israel Uriel Balderas Ruelas,"Calle Ureña 947 767
Vieja Sudáfrica, PUE 84890-5259",pcarrillo@example.net,08643721820
9,Frida Pelayo Venegas,"Privada Norte Villalobos 904 Edif. 109 , Depto. 159
Vieja Islas Marshall, COL 29720",cintronjacinto@example.net,+28(8)2999931687
10,Carla Anel Posada,"Corredor Sonora 113 Interior 857
Vieja India, QRO 33275-8070",estelafonseca@example.org,1-602-492-1818x59761
11,Ing. Lilia Jaime,"Viaducto Nicaragua 226 920
San Isaac los bajos, BC 57191-2920",nontiveros@example.com,(455)666-2185
12,José Carlos Benito de la Crúz,"Prolongación Norte Saiz 052 714
San José María de la Montaña, CHIH 71876-5361",timoteo08@example.net,1-325-452-5522x699
13,Dalia Francisco Javier Jasso,"Cerrada Sur Jaimes 298 Interior 205
San Guadalupe de la Montaña, SON 87598-7152",patriciatellez@example.com,423.443.7412x2088
14,Mtro. Clara Paredes,"Periférico Montañez 069 Interior 051
Nueva Santo Tomé y Príncipe, SIN 85182",natividad79@example.org,873.238.8172
15,Gonzalo Carrión,"Retorno Eslovenia 316 214
Nueva Nicaragua, TAMPS 39488-4763",aldovigil@example.net,062.219.3020
16,Abraham Perla Romo Ferrer,"Calle Chiapas 175 843
San Miguel Ángel los altos, YUC 15184",norma38@example.org,03652008332
17,Lic. Rolando Herrera,"Retorno Sur Olivas 627 507
Vieja Lesotho, CHIS 55182-8687",garridoteodoro@example.org,(115)176-6023
18,Magdalena Enrique Reséndez,"Diagonal Islas Marshall 388 708
Vieja Irlanda, DGO 99381-9379",tserna@example.net,414-881-5128
19,Jonás Paulina Gollum Sevilla,"Circunvalación Nauru 578 Interior 066
San Jaime los altos, CAMP 09246",tapiajose-maria@example.com,1-022-924-7378x988
20,José Luis Rosario Maestas,"Callejón Swazilandia 236 Interior 053
Vieja Burkina Faso, TAB 91977-6358",augusto49@example.org,(456)743-7634x761
21,César Rafaél Castellanos,"Peatonal Tamaulipas 995 065
San Eugenia los bajos, NL 24464-1677",minerva07@example.net,461.600.6708x6496
22,Nadia Quesada,"Diagonal Veracruz de Ignacio de la Llave 541 Interior 019
San Jesús los bajos, SIN 25607",abelloera@example.org,1-551-911-9938x942
23,Julio Portillo,"Cerrada Norte Guerrero 122 502
San Irene los bajos, SON 52101",yeni75@example.net,764-914-0516x732
24,Yuridia Cazares,"Circuito Pakistán 678 Interior 009
San José Manuél los altos, DGO 72572-7588",msotelo@example.com,337.464.8780x4603
25,Santiago Cedillo,"Corredor Fuentes 402 Edif. 691 , Depto. 362
Nueva Islandia, ZAC 31716-5775",elsa14@example.org,05654223180
26,Patricio Fabiola Saavedra Gastélum,"Circuito Michoacán de Ocampo 200 Edif. 436 , Depto. 214
Vieja Irán, TAMPS 92791-1546",carranzaaurora@example.net,006.631.7136
27,Julia Arteaga,"Callejón Nayarit 564 Interior 597
Vieja Samoa, BCS 85647",aliciacrespo@example.com,042-995-5484
28,Elisa López Velásquez,"Diagonal Norte Ojeda 331 091
San Berta los bajos, CAMP 31332",antonio35@example.org,081.790.3132x5787
29,Rubén Sisneros Gaona,"Pasaje Alejandro 091 Interior 954
Nueva Mozambique, MICH 34771",catalina93@example.com,07477739136
30,Esmeralda Mauro Sotelo Hurtado,"Pasaje Rubio 448 Interior 616
Vieja Eslovenia, DF 94630",sernacaridad@example.org,(465)761-0457
31,Raquel Báez Monroy,"Periférico México 816 683
San Gerardo los altos, BCS 12453",ignaciogaribay@example.com,307.783.4968
32,Nicolás Vega,"Calzada Reyes 444 383
Vieja Tayikistán, SON 28146-1206",xcollado@example.com,411-739-4409x04754
33,Mtro. Luis Miguel Cordero,"Peatonal Sinaloa 834 227
Nueva Nueva Zelandia, HGO 65446",mario13@example.org,+31(0)0684103600
34,Perla Lugo Corona,"Retorno Malasia 306 Interior 455
Nueva Federación de Rusia, SLP 10867-6698",guadalupequiroz@example.net,(912)677-4039
35,Dr. César Márquez,"Diagonal Otero 225 Interior 007
San Mauricio los altos, ZAC 96137-6832",helena73@example.com,503.062.5528x863
36,Horacio Bernabé Mata,"Boulevard Distrito Federal 123 Edif. 366 , Depto. 533
San Óscar de la Montaña, SIN 96315-3136",maria-luisa93@example.com,132.602.9451x00506
37,Javier Carrera Raya,"Corredor Chihuahua 250 Interior 166
San Agustín los altos, BCS 64395-9453",villalobosgabriel@example.com,+70(2)6907408070
38,Ricardo Abraham Amador,"Ampliación Sur Toro 402 Interior 944
Nueva Ecuador, AGS 10850",ribarra@example.org,06361534158
39,Ing. Pascual Madera,"Privada Gil 481 919
Nueva Tailandia, SON 51118",fariassocorro@example.com,1-690-890-0976x9174
40,Ana María Moya,"Peatonal Baja California Sur 860 Interior 943
San Estefanía los bajos, COL 65156-8609",raelzacarias@example.org,(323)079-3380x4309
41,Nelly Girón,"Eje vial Zacatecas 487 Edif. 810 , Depto. 679
San Israel de la Montaña, GTO 92375",ivan63@example.com,257.756.0015
42,Julio César Mariano Peralta Gutiérrez,"Peatonal México 681 Interior 382
San José Manuél de la Montaña, GTO 31057-6991",alejandroariadna@example.net,622-882-8867x04314
43,José Manuél Altamirano,"Periférico Nueva Zelandia 951 Edif. 857 , Depto. 854
Nueva Islas Marshall, VER 51910",toledohelena@example.net,1-862-548-5801x822
44,Lic. Carmen Negrete,"Pasaje Norte Olmos 184 Edif. 932 , Depto. 125
Vieja Tuvalu, CAMP 92930-1136",felipecandelaria@example.com,+78(2)3379903176
45,Julio César Roque Oquendo,"Continuación Aguascalientes 195 Interior 388
San Elsa los altos, MEX 37710-3272",gironeugenio@example.com,509-967-2657x28125
