cliente_id,nombre,direccion,email,telefono
1,Espartaco Navarrete Villa,"Corredor Barrera 702 Interior 837
Nueva Eslovenia, PUE 91569-1616",oscardelgado@example.org,122.469.0560
2,Darío Miguel Benavídez,"Retorno Piña 493 Interior 627
San Teodoro los bajos, NL 59613-2420",jaquelinefonseca@example.net,844.617.9246x7004
3,Inés Micaela Lemus,"Diagonal Sur Parra 767 Interior 838
Vieja Federación de Rusia, HGO 93259",fbahena@example.org,(407)381-9051
4,Paulina Elisa Tello Arevalo,"Callejón Alemania 310 983
Nueva Sierra Leona, MICH 68804-0604",emiliano40@example.org,(004)466-1981x587
5,Adán Sandoval Urrutia,"Eje vial Camarillo 238 Edif. 406 , Depto. 548
San Berta los bajos, YUC 74890-3054",usosa@example.com,(651)129-6474
6,Norma Jerónimo Benavídez Báez,"Retorno Afganistán 054 808
Nueva Nigeria, ZAC 09997",rosavaca@example.com,+82(9)5980035048
7,Cristina Eloy Rosado Rojo,"Calle Norte Mireles 965 Edif. 709 , Depto. 370
San María José los altos, MICH 79895",kvaldez@example.net,+38(8)5411082837
8,Catalina Itzel Hernández,"Cerrada Norte Carmona 207 Edif. 591 , Depto. 101
San José Luis de la Montaña, NAY 33076-1195",gpuente@example.net,681-802-5217
9,Sr(a). Camila Madera,"Continuación Leyva 695 Interior 024
San Juan Carlos los bajos, GRO 96962-2261",rnegrete@example.net,1-274-042-4195x72754
10,Fidel Rolando Garza,"Andador Norte Estévez 550 Edif. 139 , Depto. 406
San Luis Manuel de la Montaña, PUE 23260-6993",ana92@example.org,595-998-9198x7747
11,Amador María Teresa Saavedra,"Cerrada Pedroza 172 100
Vieja Bangladesh, NAY 66384-9160",catalinavasquez@example.net,644.584.1997
12,Lucía Posada,"Eje vial Guerrero 163 Edif. 823 , Depto. 919
Vieja Etiopía, CAMP 26795-8597",amaliagastelum@example.net,336.853.6665x5719
13,Sandra Archuleta,"Calle Saint Kitts y Nevis 345 483
Nueva Italia, DGO 05405-2316",catalina47@example.net,784.433.9481
14,Ángela Cintrón Monroy,"Circunvalación Norte Galarza 573 Interior 225
Vieja Burundi, BCS 35055",zlongoria@example.org,1-705-604-7782x546
15,Ing. José Eduardo Villalobos,"Calle Querétaro 760 Edif. 018 , Depto. 150
Nueva Arabia Saudita, CHIS 61199",vmadera@example.net,+02(2)6440416713
16,Dr. Mario Mateo,"Privada Norte Villalobos 252 Interior 444
San Fabiola los bajos, NAY 87251",valverdetrinidad@example.net,+91(8)6369154850
17,Débora Micaela Prieto,"Prolongación Norte Vallejo 812 Edif. 662 , Depto. 863
San Luis Manuel de la Montaña, Q. ROO 47929",gerardo34@example.net,829-782-0352x4189
18,Alonso Cano Delgadillo,"Circunvalación Querétaro 936 Edif. 755 , Depto. 412
Vieja Argentina, JAL 83579",ramon72@example.org,1-399-211-2451
19,Nicolás Salazar,"Boulevard Norte Olivo 735 Interior 531
Nueva Arabia Saudita, GTO 72019",jose-luis05@example.org,009.004.6569x582
20,Inés Granado Quintanilla,"Circunvalación Alarcón 332 Interior 163
Vieja Montenegro, SLP 59563-1161",elena74@example.net,(898)652-6465x524
21,Rebeca Silvano Vázquez Navarro,"Andador Norte Bañuelos 642 Interior 061
Vieja Mali, DF 27221-6801",karina01@example.org,02211897367
22,Abigail Abraham Lozano,"Continuación Grijalva 231 Interior 162
San Cristobal los altos, MICH 85184-8865",chavarriakarla@example.net,126.137.0810x397
23,Iván Oquendo,"Viaducto Sur Moya 768 242
San Lilia los bajos, GTO 51509-7207",indira50@example.com,750.427.5997
24,Inés Frida Mesa Moya,"Peatonal Santa Lucía 250 Edif. 396 , Depto. 957
Vieja Polonia, DGO 65907",juliarangel@example.org,1-867-376-3804x344
25,Ramiro Ernesto Olvera,"Circunvalación Baja California 298 Edif. 824 , Depto. 296
San Genaro los bajos, TLAX 19947-9400",sanchesamelia@example.com,(554)289-1921x17783
26,Laura Benito Aponte Sotelo,"Calle Bolivia 583 339
Nueva Armenia, TAMPS 39520",cantupatricia@example.com,+70(6)0692985416
27,Flavio Santiago Fajardo,"Callejón Colima 887 Edif. 089 , Depto. 265
San Itzel los bajos, COL 08326",geronimogalarza@example.net,(812)253-9894x911
28,Alta  Gracia Guerra Hinojosa,"Corredor Norte Escobedo 669 123
San Gabriel los altos, JAL 09454",salmagalarza@example.net,168-374-5407x321
29,Luis Miguel Villalpando Arellano,"Avenida Villanueva 526 Interior 894
Nueva Albania, ZAC 09271",ursula76@example.com,03020642152
30,Ofelia Saldivar,"Boulevard República de Macedonia del Norte 907 Interior 138
Nueva Costa Rica, BCS 20340",modesto68@example.net,1-223-023-9414x31439
